time,close,open,high,low
2020-12-03,1019.80,1016.73,1020.35,1014.06
2020-12-04,1021.49,1019.80,1025.17,1018.67
2020-12-07,1029.98,1024.34,1030.41,1022.14
2020-12-08,1029.26,1029.98,1032.58,1025.63
2020-12-09,1039.13,1029.26,1039.55,1029.26
2020-12-10,1030.91,1041.65,1044.10,1030.91
2020-12-11,1045.96,1033.19,1045.96,1030.06
2020-12-14,1064.09,1048.97,1064.09,1048.97
2020-12-15,1055.27,1062.02,1067.45,1052.01
2020-12-16,1066.99,1058.34,1066.99,1057.21
2020-12-17,1051.77,1065.85,1065.85,1051.42
2020-12-18,1067.46,1055.75,1068.56,1055.75
2020-12-21,1081.08,1071.62,1081.60,1070.86
2020-12-22,1083.45,1081.85,1084.23,1077.06
2020-12-23,1078.90,1087.89,1094.09,1077.92
2020-12-24,1067.52,1083.83,1084.76,1046.89
2020-12-25,1084.42,1068.83,1084.42,1061.83
2020-12-28,1091.33,1094.37,1096.11,1083.90
2020-12-29,1099.49,1090.49,1102.79,1087.93
2020-12-30,1097.54,1099.78,1108.83,1094.91
2020-12-31,1103.87,1098.25,1105.33,1096.27
2021-01-04,1120.47,1113.77,1126.43,1113.59
2021-01-05,1132.55,1116.96,1134.45,1116.49
2021-01-06,1143.21,1139.12,1152.85,1133.70
2021-01-07,1156.49,1147.26,1156.49,1143.44
2021-01-08,1167.69,1164.10,1176.33,1160.48
2021-01-11,1184.89,1176.47,1186.45,1175.00
2021-01-12,1192.28,1190.38,1192.28,1179.24
2021-01-13,1186.05,1197.32,1200.82,1183.18
2021-01-14,1187.40,1189.48,1190.50,1178.84
2021-01-15,1194.20,1188.84,1197.74,1188.84
2021-01-18,1191.94,1198.79,1200.85,1190.33
2021-01-19,1131.00,1189.91,1189.91,1117.17
2021-01-20,1134.68,1136.50,1142.48,1098.05
2021-01-21,1164.21,1146.86,1164.21,1132.66
2021-01-22,1166.78,1166.77,1175.72,1161.43
2021-01-25,1166.05,1164.20,1172.18,1162.80
2021-01-26,1136.12,1164.97,1164.97,1121.03
2021-01-27,1097.17,1122.41,1132.99,1088.86
2021-01-28,1023.94,1041.71,1052.16,1022.77
2021-01-29,1056.61,998.33,1076.11,998.33
2021-02-01,1035.51,1056.61,1074.52,1035.51
2021-02-02,1075.53,1036.95,1075.53,1029.36
2021-02-03,1111.29,1084.87,1113.24,1082.95
2021-02-04,1112.19,1112.97,1117.88,1098.85
2021-02-05,1126.91,1114.79,1126.91,1112.19
2021-02-08,1083.18,1127.06,1127.06,1075.10
2021-02-09,1114.93,1090.88,1114.93,1078.98
2021-02-17,1155.78,1127.46,1155.78,1127.46
2021-02-18,1174.38,1157.10,1174.38,1148.66
2021-02-19,1173.50,1160.65,1178.18,1157.60
2021-02-22,1175.04,1173.57,1182.67,1169.12
2021-02-23,1177.64,1174.57,1184.32,1168.32
2021-02-24,1162.01,1184.32,1185.58,1154.36
2021-02-25,1165.43,1169.97,1169.97,1155.74
2021-02-26,1168.47,1148.88,1169.28,1148.88
2021-03-01,1186.17,1176.93,1186.82,1174.45
2021-03-02,1186.61,1196.16,1196.16,1181.99
2021-03-03,1186.95,1184.73,1189.18,1180.25
2021-03-04,1168.52,1191.78,1191.90,1159.48
2021-03-05,1168.69,1164.19,1169.56,1155.60
2021-03-08,1168.27,1180.33,1181.25,1164.02
2021-03-09,1161.97,1160.96,1166.42,1150.94
2021-03-10,1170.08,1163.86,1170.59,1154.89
2021-03-11,1181.73,1170.08,1183.73,1170.08
2021-03-12,1181.56,1185.21,1186.52,1178.14
2021-03-15,1184.56,1183.89,1186.06,1178.80
2021-03-16,1179.90,1184.91,1184.91,1171.76
2021-03-17,1186.09,1178.64,1186.09,1176.26
2021-03-18,1200.94,1196.60,1200.94,1191.94
2021-03-19,1194.05,1195.47,1199.67,1191.96
2021-03-22,1194.43,1200.05,1200.21,1189.31
2021-03-23,1183.45,1190.28,1191.47,1177.10
2021-03-24,1161.81,1169.42,1174.20,1154.22
2021-03-25,1163.10,1164.41,1170.76,1154.44
2021-03-26,1162.21,1162.71,1165.76,1137.90
2021-03-29,1175.68,1169.65,1175.77,1165.78
2021-03-30,1186.36,1179.64,1187.29,1172.85
2021-03-31,1191.44,1186.36,1196.45,1186.36
2021-04-01,1216.10,1194.59,1217.26,1192.83
2021-04-02,1224.45,1225.76,1228.29,1221.07
2021-04-05,1236.05,1245.28,1245.28,1228.18
2021-04-06,1239.96,1233.37,1244.63,1231.14
2021-04-07,1242.38,1237.39,1242.38,1232.52
2021-04-08,1234.89,1242.38,1246.40,1232.26
2021-04-09,1231.66,1231.51,1234.98,1227.60
2021-04-12,1252.45,1236.79,1252.45,1232.35
2021-04-13,1248.33,1262.44,1268.02,1247.66
2021-04-14,1255.87,1240.90,1255.87,1233.01
2021-04-15,1247.25,1262.25,1265.87,1247.25
2021-04-16,1238.71,1245.06,1254.61,1227.14
2021-04-19,1260.58,1243.58,1260.58,1233.77
2021-04-20,1268.28,1267.74,1286.32,1261.28
2021-04-22,1227.82,1264.31,1271.98,1227.82
2021-04-23,1248.53,1227.18,1248.53,1216.15
2021-04-26,1215.77,1251.25,1251.25,1214.14
2021-04-27,1219.75,1213.84,1220.96,1204.14
2021-04-28,1229.55,1220.26,1230.91,1217.49
2021-04-29,1239.39,1234.91,1239.39,1231.25
2021-05-04,1242.20,1222.08,1242.80,1212.56
2021-05-05,1256.43,1244.69,1265.93,1244.69
2021-05-06,1250.57,1255.42,1261.49,1246.64
2021-05-07,1241.81,1245.48,1250.50,1231.92
2021-05-10,1259.58,1239.96,1259.58,1236.85
2021-05-11,1256.04,1265.11,1272.55,1256.04
2021-05-12,1269.09,1251.97,1269.09,1249.18
